projectName,startDate,CID,PID,finishDate
Automated License Systems,01/04/2019,462462029,766089411,13/08/2029
Kingland Companies,27/12/1982,516708945,931106757,09/04/2025
SourceGear,11/03/1995,88900089,61190775,07/07/2024
Think Tank Systems,03/06/2007,539688538,854415959,15/01/2030
Intrasphere Technologies,26/09/1987,314650231,240016783,28/09/2025
Web Group,19/01/2002,616795416,736715802,16/09/2023
Quicksilver Resources,21/07/2001,650670388,701781603,06/11/2027
Manhattan Associates,19/08/2004,460524017,103622511,29/05/2025
Brandt Information Services,23/07/2000,488378650,940286847,16/01/2026
Bestever,22/11/2009,79987958,428455522,15/01/2022
MedAmicus,23/05/1987,613373781,142916695,12/06/2021
Innovate E-Commerce,28/10/1998,423695691,728012901,05/03/2025
3t Systems,11/04/1987,172717954,490277113,30/07/2022
Fiberlink Communications,21/01/2015,312389863,325946144,11/06/2029
Lloyd Group,31/01/2012,16749168,742248289,11/09/2027
National Heritage Academies,05/05/1980,811683817,555265851,11/03/2024
Biosite,23/05/2001,412897833,544681952,04/12/2028
Medical Action Industries,06/05/2010,76501766,981820493,19/10/2027
American Land Lease,11/06/2001,633715097,432069341,26/12/2025
Bashen Consulting,14/01/1981,763251966,134722667,17/03/2029
Simply Certificates,27/03/2005,460616832,660807020,19/12/2023
Bradley Pharmaceuticals,20/10/2013,182463833,926843077,15/04/2021
Sea Fox Boat,02/12/1993,200259480,524527208,19/05/2027
Staff Force,13/06/1985,318412792,123633749,17/01/2024
AT&T Wireless,02/08/1997,38961921,170130901,04/09/2030
Northwoods Software Development,21/05/2016,747407374,424855655,06/07/2026
Tracer Technologies,03/07/2017,50766681,668886614,01/08/2021
John Keeler & Co.,04/02/2008,831554257,982154471,20/06/2025
L.E.M. Products,09/02/2017,683496602,764183620,13/05/2027
Gentra Systems,02/05/2017,561126360,226036923,31/05/2027
SM Consulting,17/03/2018,652346786,189447413,23/03/2027
Nexxtworks,22/11/1988,450231872,569143143,05/09/2025
Integrated Decisions and Systems,10/02/2014,930994420,286606140,06/06/2025
Unicru,05/03/2001,111676948,457325174,01/08/2021
Procurement Centre,21/08/1986,873843615,807980284,13/02/2028
Cowlitz Bancorp,09/12/1995,968202221,963426135,04/10/2023
Atlantic Credit & Finance,15/04/1988,416614462,586294004,21/09/2028
MHF Logistical Solutions,20/05/2003,154042000,319873900,30/05/2030
I.T.S.,28/04/2001,520965507,943007521,26/10/2021
Security Mortgage Group,24/01/1983,796309966,538792661,22/11/2027
Bio-Reference Labs,09/01/1995,656451251,690389733,18/01/2024
Topics Entertainment,07/05/2013,938095691,971004462,19/03/2020
Contract Counsel,12/05/2004,494358069,879948323,03/11/2026
Operational Technologies,24/02/2009,757399640,594969900,14/11/2025
Integrity Staffing Solutions,27/12/1986,25407855,990369450,07/02/2023
ID Label,06/11/1999,555658979,240451771,17/05/2028
MasterCard International,04/09/2017,230939784,856872696,21/02/2023
Hat World,07/12/1992,471320532,825681196,24/04/2022
American Express Co.,05/07/2017,368645018,679538947,13/07/2022
Neogen,27/04/2007,211225443,371946874,08/09/2020
CookTek,31/12/2019,843821945,934543259,07/02/2025
First South Bancorp,30/04/2006,618825978,531811015,09/01/2027
InfoPros,03/03/2008,545871923,120444465,06/01/2025
Refinery,22/02/2012,638319274,19193274,28/11/2024
First Revenue Assurance,10/07/2018,52101713,823655936,10/09/2025
Direct Data,19/07/2019,661619926,793061092,21/04/2029
Kingston,20/09/1994,949713550,715751560,30/11/2023
Progressive Medical,07/08/1991,515686923,382458054,17/08/2030
ProSys Information Systems,14/09/1984,282107829,960433239,21/03/2030
Analytical Management Services,08/08/2016,410722049,771068934,02/02/2021
Uniserve Facilities Services,04/04/1993,58199724,297262104,31/05/2029
Bayer,12/01/1989,894779899,70600677,14/09/2024
Texas Residential Mortgage,02/04/1991,671488863,590396083,19/10/2030
News Corp.,08/07/1983,294454400,681573836,12/02/2029
PrintingForLess.com,23/05/1982,510803142,482716166,07/11/2030
Wendy’s International,10/07/1980,163722392,331976730,12/09/2021
Advanced Internet Technologies,08/11/1982,594186417,825888326,20/04/2029
Key Information Systems,07/10/2012,760199061,980869403,26/05/2021
J.C. Penney Corp.,06/01/2010,122094735,914504726,17/12/2030
CapTech Ventures,11/04/2017,129603669,118188766,13/01/2020
Third Millennium Telecommunications,04/12/2019,134040001,255414605,28/02/2029
Progressive Medical,16/09/2003,850477522,555475654,06/04/2030
Gillette Co.,08/09/1992,804765028,304811561,21/05/2022
Kingland Companies,23/05/1997,877070995,300272851,20/09/2025
Toyota Motor Corp.,19/05/1988,848836413,768342563,11/05/2023
Technology and Management Associates,08/06/2017,909851153,274515592,01/08/2022
Digital Motorworks,27/07/1994,308929427,451998360,02/10/2027
SPS Commerce,23/05/1986,177275506,169275466,09/10/2028
Young Innovations,28/01/2007,493882129,149802837,15/09/2026
HealthCare Financial Group,15/11/2004,295769338,285217376,16/10/2030
Provident Bancorp,17/02/1990,299925727,219713151,16/02/2030
Fiber Network Solutions,23/07/2005,896829102,447783726,09/05/2020
Liners Direct,01/05/1997,625750224,612207361,10/05/2022
New Horizons Computer Learning Center of Miami,02/01/1991,461348052,686485309,12/08/2030
Parksite,09/11/1996,666267334,652628517,28/10/2030
Spectrum Communications Cabling Services,22/08/2005,440726282,980121197,12/10/2027
U.S. Government,22/08/1996,478380123,72738625,25/05/2028
Execuscribe,30/09/1980,414611624,582068116,12/11/2027
ZonePerfect Nutrition Company,16/02/2019,40011134,905979412,01/06/2021
Bedford Bancshares,11/09/2001,242022490,663888118,28/08/2028
Noodles & Co.,23/01/1981,305901457,556927198,09/12/2022
Caliber Collision Centers,02/03/2013,809058455,169831568,05/06/2026
State Farm Mutual Automobile Insur,28/05/2010,133915192,454316430,25/12/2020
Ivory Systems,24/09/1993,960104769,300084467,02/12/2028
Span-America Medical Systems,17/06/1983,807231520,310423608,22/09/2023
Evergreen Resources,31/01/1997,378609107,525553867,16/02/2030
Progressive Designs,06/12/2011,149759178,756704590,25/02/2028
Extra Mile Transportation,11/07/1994,446694271,338347080,13/08/2020
Capital Automotive,07/06/1989,668282270,296750537,20/04/2021
Dynacq International,01/05/1983,814539911,537557771,27/10/2028
ProSys Information Systems,18/07/2004,928262933,240210579,21/05/2021
Tilia,05/07/2013,63259073,545537488,10/10/2026
Perfect Order,07/07/2019,751030176,404798112,26/12/2022
Refinery,12/03/1985,474410668,653178558,19/07/2020
Flow Management Technologies,25/04/1992,289925669,515248207,05/02/2021
Mattel,22/07/1994,932625121,269483158,13/12/2028
Tastefully Simple,06/09/2012,262223165,373348838,06/05/2022
Elite Computers & Software,20/12/2013,974347663,199149067,22/11/2029
Scott Pipitone Design,01/02/1994,405978915,660399948,21/11/2020
"Sears, Roebuck & Co.",12/04/2008,356892826,824880682,12/02/2027
Capital Crossing Bank,26/12/1986,107456649,204565955,23/05/2025
Envision Telephony,16/10/2012,722229897,803717383,20/03/2022
Sandy Spring Bancorp,10/07/1992,201730817,954796480,06/07/2022
KeyMark,22/08/1990,378948787,633357605,12/05/2028
Outsource Group,27/10/2005,898133383,755360830,14/03/2030
ZonePerfect Nutrition Company,03/11/2015,254691079,494379577,19/09/2024
Clorox Co.,09/11/1982,608273124,584197633,18/01/2021
Tilia,15/01/1982,674191000,170448753,16/01/2027
Accuship,29/09/1991,395981744,72451268,13/07/2023
Scott Pipitone Design,11/05/1980,365860017,551108368,16/02/2021
Tarragon Realty,17/07/2007,560729259,360046964,02/06/2027
Signature Consultants,14/09/1998,525024524,577452684,10/01/2024
American Service Systems,09/11/2013,430486707,750997151,14/12/2020
EagleOne,17/07/2016,449989445,155027463,10/10/2021
AT&T Corp.,17/11/1986,163208372,702632492,16/03/2027
Monarch Casino,18/01/2015,183988761,827555808,21/05/2023
Swiss Watch International,25/04/1987,526343227,881829152,18/10/2023
AccuCode,15/07/1982,488583600,967250011,02/10/2023
Strategic Data Systems,13/05/1998,927632679,238901140,17/05/2024
Access US,14/09/2014,560526729,348622060,25/12/2023
U.S. Government,13/12/2008,806788566,678455469,17/04/2025
Pan-Pacific Retail Properties,02/06/1993,283913398,540139280,14/01/2030
Diversitech,03/02/1990,651409981,525833046,23/03/2021
Oneida Financial,13/01/2003,167650272,364379484,06/04/2030
Gorman Richardson Architects,22/06/2011,422896809,137138643,23/08/2028
Shirt Factory,21/10/2014,380348339,147355480,19/11/2027
Navarro Research and Engineering,12/03/1990,241736701,962682490,31/12/2020
Kia Motors Corp.,14/05/2013,593079319,160449578,27/02/2022
Freedom Medical,01/08/1982,980586160,759846260,13/06/2027
Pioneer Mortgage,29/04/1982,354310480,285381975,07/08/2021
Ositis Software,22/03/2010,529942333,251621798,19/12/2022
CLT Meetings International,20/07/1994,606645486,104520164,11/03/2026
Synhrgy HR Technologies,25/10/1998,953827854,692108070,11/10/2030
Capital Crossing Bank,10/01/2018,599234057,588559506,12/08/2023
National Bankcard Systems,24/12/2013,786910527,900161013,05/03/2025
Monarch Casino,29/11/1986,5521666,764757224,15/07/2022
Unica,07/12/2011,258797849,63720387,13/01/2030
Smartronix,24/10/1992,555952820,614594597,04/12/2028
Omega Insurance Services,11/06/2019,804673502,194773424,24/06/2021
ACS International Resources,15/11/2005,411187187,745262701,25/11/2026
Bio-Reference Labs,28/04/2001,785160011,134701676,31/12/2028
May Department Stores Co.,06/06/1993,465153114,252931948,01/10/2020
Tracer Technologies,18/10/1984,808921555,614796197,03/12/2029
Paisley Consulting,03/05/1993,669182638,224108784,07/06/2020
Innovate E-Commerce,10/05/2015,352226998,550110155,15/04/2022
InfoVision Consultants,15/05/2011,633910470,619428852,30/08/2020
Cherokee Information Services,06/03/1984,52665596,718567112,03/07/2029
Sensor Technologies,19/12/1981,182659825,959494424,03/04/2026
FlavorX,08/08/1993,647525360,340565559,10/05/2024
Hencie,27/06/1994,561075295,463403105,16/03/2028
DataTrend Information Systems,13/07/2009,331811553,361801803,24/09/2028
Advanced Internet Technologies,13/12/2017,687302445,14549063,13/06/2020
Yash Technologies,12/10/1989,333405250,840849805,16/01/2030
CIW Services,13/11/1999,478433414,31530243,11/11/2026
S.C. Johnson & Son,13/07/2014,860696967,892319384,14/08/2026
Market First,26/04/2001,538944629,337818304,29/08/2030
"Mathis, Earnest & Vandeventer",24/02/1981,205201991,892839190,12/11/2028
Prometheus Laboratories,07/12/1986,265586437,670753051,20/12/2025
FNB,26/11/1987,46307365,246509324,17/10/2028
AT&T Corp.,17/05/2002,360548002,100801441,06/10/2021
York Enterprise Solutions,19/12/1990,642441033,807844567,11/08/2030
Benecon Group,12/05/1983,832811670,251066145,09/08/2023
netNumina,09/08/2002,496597156,310833005,18/11/2028
Maverick Technologies,31/01/1997,262456955,740885918,25/11/2025
Gillette Co.,04/09/1992,515916207,681789200,27/03/2027
Meridian Gold,27/05/2010,615795206,934730898,02/10/2020
Carteret Mortgage,24/11/1981,364337208,376224142,07/09/2026
CARBO Ceramics,13/11/1982,782655429,298916291,17/05/2028
TimeVision,21/12/2010,209806872,655468069,12/08/2021
C & A Industries,16/06/1981,242433100,781768370,13/03/2020
Franklin American Mortgage,29/05/2007,830540811,566659798,24/07/2029
GlaxoSmithKline,10/11/2003,922274075,417245080,24/08/2028
Labrada Nutrition,07/12/1983,106182097,34830041,11/10/2020
QSS Group,01/06/2012,32307311,140627520,05/06/2026
Envision Telephony,12/03/2018,57633045,364157000,13/05/2025
Ositis Software,20/05/2012,751650399,382613360,03/03/2021
Escalade,29/09/2014,531649061,159723828,23/01/2026
News Corp.,19/05/1998,791510917,131762947,15/11/2022
Hi-Tech Pharmacal,10/01/2006,957487285,279317727,06/03/2029
Unilever,22/07/2017,997463851,974874767,02/01/2028
Partnership in Building,07/02/2017,967617542,836760789,28/04/2028
North American Theatrix,12/11/2015,150455238,163844703,17/10/2028
Accuship,03/12/1990,427633932,741435699,17/07/2026
Laboratory Management Systems,05/12/1982,539625159,626336617,06/05/2029
Integrated Decisions and Systems,06/07/1990,203586641,54048036,22/05/2029
U.S. Energy Services,18/03/1996,382547863,382590209,27/05/2022
Democracy Data & Communications,24/07/2011,198222045,93080910,15/03/2022
Hudson River Bancorp,28/01/1982,90564706,108591086,15/09/2025
MoneyLine Lending Services,08/01/1993,295767396,788386821,27/06/2020
Viacell,09/05/2012,427793980,120820572,15/07/2024
SourceGear,15/11/2011,574060609,332107695,23/03/2024
Taycor Financial,28/09/1983,373248356,350397621,26/02/2021
Vesta,15/01/2012,428645447,277310402,12/02/2030
Accredited Home Lenders,21/12/2005,995324203,299199073,10/04/2024
Blue Angel Technologies,25/03/1988,90238032,578682632,20/09/2021
Sara Lee Corp.,20/11/1997,656888534,63436388,07/08/2026
Call Henry,22/10/2004,138190911,398433446,02/10/2021
Medical Action Industries,27/09/2009,175019922,43468509,02/06/2022
Associated Business Systems,11/04/2008,410640221,94093034,07/07/2024
Virbac,19/06/2004,712939061,159287457,25/10/2026
Street Glow,21/01/1998,960740624,438774350,20/05/2020
Northwoods Software Development,13/08/2014,438958728,409493372,28/07/2021
TeleSynthesis,23/07/2008,757397031,783148978,09/04/2023
Kmart Corp.,14/02/2007,713261502,695453289,08/03/2025
Hilton Hotels Corp.,11/07/2008,586925042,752280128,24/03/2025
Alternative Technology,19/07/1986,816642133,269911016,04/02/2021
Sensor Technologies,06/02/2017,127474239,110782777,25/08/2030
Smartronix,31/07/2011,530941419,739762390,21/03/2026
Omega Insurance Services,27/02/2018,366540860,363069492,25/11/2028
Palm Beach Tan,29/01/2017,29532858,303811406,23/03/2026
Computer World Services,29/01/1991,752405988,18550043,25/01/2024
Arkidata,08/03/1983,276832192,563232606,22/12/2028
Restaurant Partners,26/11/1986,171886720,963689009,02/10/2022
AXSA Document Solutions,23/05/2009,907740356,355559842,27/06/2021
Timberlane Woodcrafters,08/11/2009,280622207,130486824,01/02/2027
Component Graphics,17/05/2014,156882824,388346369,23/07/2023
Flow Management Technologies,11/12/2009,963517404,872818985,17/08/2022
Nike,16/06/1983,732736949,859314770,23/02/2020
Black Mountain Management,31/10/1998,444648533,698475702,15/02/2025
Dell Computer Corp.,16/09/2003,293904864,787563776,11/11/2026
Noodles & Co.,05/05/2011,263049735,915513946,13/05/2023
Third Millennium Telecommunications,30/06/2010,710233173,145184014,24/12/2028
Maverick Technologies,25/05/2013,70153282,660859743,21/05/2020
netNumina,01/08/1987,920761883,944568761,10/02/2020
Texas Residential Mortgage,09/04/2009,332587853,301069741,18/10/2026
Lindin Consulting,05/10/2008,782843885,445040446,01/12/2029
Trinity HomeCare,23/09/2002,919327451,107788899,31/10/2020
Momentum Marketing Services,11/04/1985,858079099,739073587,19/12/2030
TechRX,19/02/2007,352602228,629166792,20/09/2025
American Land Lease,15/08/1987,729570031,676404078,02/11/2030
HealthScribe,21/03/2014,516926195,788864728,14/09/2027
Lindin Consulting,23/01/2005,908421798,576649758,30/08/2025
Microsoft Corp.,24/01/2017,867345535,520656145,10/01/2029
CapTech Ventures,22/01/1982,699365844,616062808,18/04/2020
Horizon Organic,18/03/2002,209835416,459598338,22/11/2029
One Source Printing,06/12/2019,430859334,585270047,24/06/2020
American Healthways,08/11/2000,518431890,432808093,18/03/2021
Computer Source,29/04/2013,119786832,333298517,08/01/2021
Unger Technologies,20/02/2010,781923867,974563096,05/08/2028
Genex Technologies,18/08/2013,151595816,245570932,26/02/2024
Gap Inc.,20/06/1995,138793392,689388030,06/04/2023
Priority Express Courier,13/11/1990,788563354,334990991,10/11/2026
Wells Financial,16/02/1992,433239190,599616414,26/09/2029
Quicksilver Resources,14/05/2003,569028407,152940729,21/12/2029
Pragmatech Software,19/10/2003,236724228,67916618,20/12/2025
Bio-Reference Labs,27/03/2014,217407840,654343255,13/02/2030
Pan-Pacific Retail Properties,06/05/2008,761389940,556027907,11/04/2028
EFC Bancorp,14/06/1981,709264142,127970378,18/04/2030
Nature's Cure,08/10/2009,314949407,198062364,09/11/2027
BASE Consulting Group,13/03/2016,976320441,268322412,15/07/2027
Alliance of Professionals & Consultants,05/07/2017,489817184,240879423,19/05/2029
Traffic Management,14/04/1984,773943411,973395372,13/12/2026
Trek Equipment,13/07/1988,165766306,476661373,24/04/2025
Capital Automotive,22/09/2013,201585592,304735557,26/10/2030
Horizon Organic,31/08/2017,520243572,596216674,13/04/2024
Jewett-Cameron Trading,10/10/2008,681468719,31459924,31/03/2022
Cardtronics,02/11/2012,43582209,278877981,29/11/2028
SimStar Internet Solutions,03/06/1984,749923943,588567464,07/03/2029
North Coast Energy,14/08/2018,87400746,300913573,31/07/2022
Parksite,18/05/1999,95542056,579240301,17/06/2027
Client Network Services,28/07/1998,68430647,291046425,24/02/2027
Y2Marketing,03/03/2005,335950158,518131223,18/11/2026
Diamond Group,30/01/2009,57652725,145370113,11/09/2029
Sprint Corp.,17/11/2016,912191467,443026638,22/05/2029
WCI,13/09/1985,328847939,771146344,13/09/2030
Capital Bank,04/09/1985,416601323,121404495,05/12/2030
Viacell,12/11/1983,386347936,809847210,06/12/2021
Cody-Kramer Imports,15/01/1991,898897704,411018582,28/08/2029
Nissan Motor Co.,20/07/2011,370787266,84168485,31/08/2026
Advanced Neuromodulation,30/08/1986,936605780,712679477,29/08/2024
Paisley Consulting,17/07/1997,912103000,594329160,23/05/2024
Access US,11/12/1996,903625146,399921237,05/02/2020
Wyeth,22/02/2015,121035436,594923774,09/05/2029
Momentum Marketing Services,10/09/2001,836519339,606449656,13/09/2021
PowerLight,23/03/2019,134817606,916042793,05/06/2026
Asta Funding,04/04/2015,301967922,873783174,08/03/2029
Priority Leasing,12/12/2017,484431347,786490414,18/03/2030
Analytics Operations Engineering,06/10/2001,861922981,554768134,09/06/2023
InfoPros,14/06/1987,998968658,745072103,05/10/2025
Cima Labs,12/10/2010,667535576,633653734,31/12/2024
I.T.S.,14/01/2018,667209957,42656420,29/04/2026
Arrow Financial Services,28/01/1996,645682997,674695225,28/11/2027
Harrison & Shriftman,08/11/1986,869514751,340849878,17/05/2023
AC Technologies,17/05/1991,117995090,488338002,09/07/2023
Comnet International,11/03/2009,606664677,742734654,09/03/2029
CHIPS Solutions,27/07/1980,425028109,151960653,17/04/2024
Aloha NY Systems,05/02/2003,197813413,177259746,04/04/2022
Pacific Data Designs,22/09/1985,365528492,89829369,16/01/2028
Procter & Gamble Co.,13/11/2018,202741800,990834213,07/08/2022
Network Hardware Resale,05/10/1983,318424645,632000710,17/05/2026
Hewlett-Packard Co.,30/08/2016,425720299,162392457,03/05/2025
Banfe Products,20/06/2019,423255645,736513531,19/02/2028
Federated Department Stores,10/01/2013,210999503,953949457,01/02/2023
Span-America Medical Systems,08/06/1993,17404327,897816697,11/09/2025
InfoPros,20/08/1994,778411155,242216381,28/09/2028
StoneTech Professional,16/11/1994,364950131,529767795,15/01/2030
Connected,04/11/2018,28957656,913650112,08/08/2024
Sequoia System International,10/02/2019,554954554,870061394,24/12/2024
Montpelier Plastics,17/06/2008,589827737,920779685,09/03/2024
Meritage Technologies,22/04/2008,505268377,833969553,05/01/2021
Woronoco Bancorp,15/04/1995,918686040,370202490,08/05/2024
SYS-CON Media,13/10/1980,316861330,402013626,22/11/2026
Appriss,15/03/1987,618868221,964118793,12/07/2020
Technology and Management Associates,30/03/1981,991300093,323901092,16/05/2029
Client Network Services,22/08/2002,225242934,181549364,16/02/2022
Taycor Financial,07/12/1984,689675027,177079140,13/11/2029
Toyota Motor Corp.,13/04/1981,486503270,921724392,13/11/2023
Black Mountain Management,25/03/2000,527397510,863749039,08/06/2020
Bedford Bancshares,22/12/1988,468269584,419884351,26/01/2030
ELMCO,07/10/2011,655814959,904566730,01/11/2022
Typhoon,08/12/1988,394656185,482143177,08/07/2025
Solipsys,28/09/1996,806619057,445552704,23/12/2023
One Source Printing,23/01/2012,311100665,136550973,17/05/2021
Adea Solutions,16/10/2014,407518372,655324488,14/04/2022
Aventis,16/01/2004,841126003,165846709,25/05/2030
STI Knowledge,04/08/2013,302241106,299648106,13/12/2026
Dancor,27/02/2005,142526783,327067830,29/08/2030
Conquest Systems,19/02/2018,310123165,726056197,11/03/2028
FlavorX,10/09/2007,970485606,747612273,09/04/2023
Sunstream,24/07/1980,242409951,868336266,10/07/2027
Telwares Communications,28/01/1990,509153435,695983659,22/02/2023
Phoenix Rehabilitation and Health Services,20/08/2001,48520217,658200776,24/10/2021
Terra Firma,20/11/2010,975352568,18788371,21/06/2021
Envision Telephony,17/07/1996,803365158,586899220,11/05/2029
GlaxoSmithKline,03/01/2006,837194609,20413551,24/10/2028
Sensor Technologies,15/04/2006,162107326,997500135,23/03/2029
Horizon Organic,23/01/2002,858582210,885342871,16/12/2028
AQuickDelivery,12/11/2009,43017292,700346550,24/07/2025
Custom Solutions International,06/02/2000,660046262,152353884,19/06/2020
Doral Dental USA,11/10/1981,322160920,417491836,27/01/2021
Texas Residential Mortgage,20/10/1981,53145921,812072898,18/03/2030
Unicru,14/11/2015,960104650,613350311,16/06/2025
Universal Solutions,13/12/2009,343580697,957912244,18/03/2029
Advanced Internet Technologies,21/09/2011,578289545,118601572,28/07/2022
Quaker City Bancorp,03/04/1981,135954369,503415302,10/03/2024
Northwoods Software Development,08/04/1990,702825867,42605458,23/06/2030
Bashen Consulting,24/06/2011,400185352,846679218,17/12/2030
Adea Solutions,14/03/1992,889809634,473806960,24/12/2028
Strategic Management Initiatives,01/08/1980,201296433,652697720,16/07/2020
SM Consulting,09/09/2014,30292172,739338391,01/03/2021
TechRX,07/06/1984,640405702,463418871,21/01/2027
BioReliance,27/11/1990,528735938,306420155,21/01/2029
Myricom,14/07/2000,43106015,407439220,07/05/2021
Alogent,01/02/1994,115501443,448549347,13/02/2028
May Department Stores Co.,08/08/1981,397232876,446082849,16/06/2023
Catamount Constructors,13/01/2004,567256969,660450381,02/08/2023
Phoenix Rehabilitation and Health Services,23/07/2017,22720605,506055523,22/05/2025
Clorox Co.,08/08/2016,49526934,67202839,23/12/2023
Campbell Soup Co.,06/05/2018,760990531,116500869,06/05/2028
netNumina,05/10/2012,402296182,515478855,23/07/2021
Marathon Heater,25/01/1983,707957475,846594935,03/11/2024
Signature Consultants,09/08/1995,891428918,50173228,31/05/2030
Auction Systems Auctioneers & Appraisers,07/05/2016,848996322,703726353,18/05/2028
3t Systems,04/05/1996,977218549,766056909,28/02/2024
Asta Funding,27/05/2016,778033788,758789643,03/02/2026
EPAM Systems,15/11/2008,953337683,10633762,16/08/2025
WorldCom,08/03/2000,677450968,882079881,18/09/2030
Dancor,08/12/2013,900253024,55167557,24/04/2024
CLT Meetings International,02/06/1994,946088921,903101021,08/12/2026
Sunstream,12/02/2016,420729376,129320216,30/04/2026
Universal Solutions,12/01/2000,600562143,640706628,04/01/2029
Royal Gold,01/12/1996,389675108,159867406,03/07/2020
Integrated Decisions and Systems,30/09/2016,867926726,579559876,30/11/2030
HealthCare Financial Group,05/09/1999,533372410,555544988,29/07/2026
TechBooks,17/01/2008,641977328,829482891,21/02/2025
GDA Technologies,04/07/2004,773891184,392561754,08/11/2023
L’Oreal,13/10/1997,378144313,601663080,10/04/2030
Professional Placement Resources,12/01/1983,579611880,300880210,01/10/2029
SALT Group,09/01/1989,572514489,850660723,20/07/2021
Outta the Box Dispensers,11/01/2013,370112000,620125851,25/06/2023
Nestle,08/07/2014,639137406,986031231,16/10/2021
School Technology Management,18/11/2016,76965718,713153081,26/02/2029
Accuship,08/09/1986,909727223,392700934,13/10/2021
Morgan Research,05/08/2000,493465269,871234323,13/12/2030
Hencie,28/05/1996,479204067,518861217,08/10/2022
Great Lakes Media Technology,08/10/1986,401992576,890155152,03/05/2020
Infinity Software Development,10/01/1982,571762077,758905131,26/09/2024
Progressive Designs,18/11/2011,691535887,273252975,12/10/2021
Ultimus,18/07/1993,858907658,877890544,18/06/2029
Fetch Logistics,11/07/1980,78095423,677644299,11/07/2024
Circuit City Stores,05/08/1984,395301551,267495773,03/07/2026
Joe Lombardo Plumbing + Heating of Rockland,13/02/2014,116617436,123323171,27/04/2020
Tripwire,02/11/1986,564789886,613825756,23/07/2029
Provident Bancorp,18/11/2010,806035106,394095708,24/11/2025
Call Henry,13/05/2016,259694569,946299474,20/09/2022
Cowlitz Bancorp,13/02/1994,742715825,180359019,10/07/2025
Entelligence,08/08/1994,164375924,134987007,01/11/2028
Traffic Management,24/11/2005,392556620,844141097,25/07/2030
Aventis,04/10/1992,964372523,53570856,01/12/2027
ORI Services,23/05/1991,351454736,993914371,07/10/2020
Phoenix Rehabilitation and Health Services,01/02/2000,919792027,765972606,28/12/2030
Cardinal Cartridge,10/06/2013,167635005,346831256,01/12/2020
Franklin American Mortgage,22/07/1980,348604391,463542735,30/07/2020
Vertex Solutions,12/06/1980,222489431,954637828,22/07/2024
Market First,03/11/2005,312864692,790907989,10/03/2026
Eastman Kodak Co.,28/09/1981,584058425,381789651,13/12/2020
Clover Technologies Group,28/03/1991,564561239,282183684,25/03/2024
CookTek,08/07/1991,775552058,716044695,07/10/2021
Technica,02/08/1995,595198089,681919109,07/01/2024
Pan-Pacific Retail Properties,14/12/2013,483490952,974609637,06/05/2024
Myricom,26/01/1984,784572491,839004634,05/07/2025
Parksite,17/01/1984,343082069,993100054,08/03/2025
Sequoia System International,02/11/1999,59813914,69772212,28/06/2020
Tarragon Realty,03/09/1987,630383023,672447540,27/06/2024
IntegraMed America,29/08/1983,8931635,476940972,08/12/2030
Softworld,07/01/1985,919008126,455533370,28/09/2028
SurModics,18/01/2018,580966101,414052550,09/05/2021
Gillani,14/01/1998,619942073,395198675,21/10/2024
Computer World Services,04/02/1989,461492216,325606856,20/06/2024
Loss Mitigation Services,17/01/1983,583778264,819501434,17/09/2024
netNumina,06/08/1995,173563067,886318873,24/05/2025
York Enterprise Solutions,11/12/2004,984773007,376399340,21/08/2023
ComGlobal Systems,07/02/1982,812514805,483541831,18/12/2028
Anworth Mortgage,26/10/2009,282755126,867051954,11/02/2025
Hospital Solutions,21/12/2003,293741341,760803556,05/08/2024
Greyhawk North America,16/04/1995,158480968,265614895,29/06/2029
Noodles & Co.,16/08/1981,44631527,691752115,13/02/2028
Sprint Corp.,23/10/2000,690255661,664602165,06/07/2021
FirstFed America Bancorp,28/06/1983,569012962,567267481,20/03/2029
Vitacost.com,23/02/2011,681214584,165019840,05/04/2029
Mercantile Bank,21/04/1980,885975372,70163071,03/12/2026
Accuship,29/11/1987,422535607,376679800,13/10/2028
Yash Technologies,09/05/1995,465159371,732666100,31/08/2029
Progressive Medical,19/02/2005,610136440,131871351,27/06/2028
Joe Lombardo Plumbing + Heating of Rockland,08/01/2004,445645804,967115298,05/08/2029
Blue Ocean Software,12/12/2018,598511885,560876167,05/09/2027
Access Systems,24/06/2015,639268023,194897729,10/03/2022
3t Systems,07/12/2015,957143421,593078228,16/07/2027
In Zone,07/11/1996,277538918,700141560,24/09/2023
Merck & Co.,26/04/2005,838918789,682060098,10/04/2029
Universal Solutions,27/03/2010,817214089,533384013,06/11/2024
Spotfire Holdings,17/12/1984,658933665,970372893,03/05/2021
Stone Brewing,29/07/2000,475219062,376129406,23/03/2023
Trinity HomeCare,17/01/1986,908027636,823332719,15/03/2030
eCopy,30/04/1986,943003311,772814884,05/04/2022
Home Depot,24/07/2008,160714276,140440477,01/01/2029
Innovative Lighting,07/06/1987,643864015,635756329,19/07/2023
Extreme Pizza,23/05/2013,757653915,33262276,12/06/2029
Integra Telecom,04/07/1994,861933368,525670927,21/08/2026
Span-America Medical Systems,08/03/1983,96093250,973474720,30/05/2026
Baesch Computer Consulting,11/04/2005,794649057,234641982,09/05/2026
I.T.S.,09/07/2009,146803126,421499358,20/04/2020
CapTech Ventures,07/04/1992,462078539,688178026,08/02/2023
Authoria,24/09/1994,723810068,905337852,20/03/2024
EPAM Systems,21/03/2009,604769224,197594926,22/03/2023
